Food_Code,Food_Name,Description,Group,Protein,Fat,Carbohydrate,Energy,Total_sugars
13-892,"Rosemary, fresh",7 samples and calculation from dried,H,1.4,4.4,13.5,99,N
15-869,"Roulade, spinach",Recipe from dietary survey records,DR,10.1,13.3,4.5,182,2
11-1111,"Rum baba, homemade",Recipe,AP,3.7,7.7,33.1,222,19.7
11-940,Rusks,"8 samples, 8 products",AK,6.5,10.7,73,396,23.4
15-629,"Saag, homemade","5 samples, spinach curry",DR,3.3,8.8,5,111,1.7
13-852,Saffron,Literature sources,H,11.4,5.9,61.5,310,42.4
13-854,"Sage, dried, ground",Literature souces,H,10.6,12.7,42.7,315,N
13-853,"Sage, fresh",5 samples and calculation from dried,H,3.9,4.6,15.6,119,N
11-023,"Sago, raw",2 samples from different shops,AA,0.2,0.2,94,355,Tr
17-703,Salad cream,"3 samples, different brands",WCG,1.5,26.7,21.2,326,16.7
17-704,"Salad cream, reduced fat",Label and data calculated,WCG,1,10.6,15.5,157,9.2
15-870,"Salad, beetroot and onion in French dressing",Recipe from review of recipe collection,DR,1.9,3.1,9.5,71,8.2
15-871,"Salad, Greek","Recipe. Salad with feta cheese, olives and olive oil. Recipe from review of recipe collection",DR,2.7,12.6,1.9,131,1.8
15-648,"Salad, green","Lettuce, cucumber, pepper and celery. Recipe from review of recipe collection",DR,1,0.4,1.6,13,1.6
15-872,"Salad, pasta, vegetables and mayonnaise",Recipe from dietary survey records,DR,3.7,7.9,17.5,150,1.9
15-873,"Salad, potato, with French dressing",Recipe from review of recipe collection,DR,1.5,5,15.8,111,2.1
15-874,"Salad, potato, with mayonnaise",Recipe from review of recipe collection,DR,1.6,20.6,12.7,239,1.5
15-654,"Salad, potato, with mayonnaise, retail",Recipe from manufacturers,DR,1.5,11.8,12.3,158,1.9
15-875,"Salad, rice, brown","Recipe. Rice, vegetables, nut and raisin. Recipe from dietary survey records",DR,3.5,7.3,21.6,160,5
15-649,"Salad, rice, homemade","Rice, vegetables, nut and raisin. Recipe from dietary survey records",DR,3.1,7,24.5,168,4.9
15-876,"Salad, tomato and onion",Recipe from review of recipe collection,DR,0.6,2.7,4.9,45,4.1
15-878,"Salad, Waldorf","Recipe. Apple, walnut and celery with mayonnaise. Recipe from review of recipe collection",DR,1.5,17.8,7.9,196,7.9
15-294,"Salad, wholemeal pasta, with vegetables and mayonnaise",Recipe from dietary survey records,DR,3.1,7.5,13.8,131,2.6
19-517,Salami,"22 samples including Danish, French, German and Italian. 90-100% meat",MI,20.9,39.2,0.5,438,0.5
19-508,Salami snack,Including Peperami and own brand equivalents,MI,25.1,44,1.9,504,1.9
19-625,"Salmis of pheasant, homemade",Recipe,MR,9.9,5.6,2.4,106,1.4
16-453,"Salmon en croute, retail",Calculated from manufacturers' proportions,JR,11.8,19.1,18,288,0.9
16-359,"Salmon, farmed, flesh only, baked","10 samples, fresh fillets",J,25.2,14.6,0,232,0
16-357,"Salmon, farmed, flesh only, grilled","10 samples, fresh fillets",J,24.6,15.6,0,239,0
16-484,"Salmon, farmed, flesh only, grilled, weighed with bones and skin",Calculated from 16-357 using edible conversion factor of 0.87,JC,21.4,13.6,0,208,0
16-356,"Salmon, farmed, flesh only, raw","10 samples, fresh fillets",J,20.4,15,0,217,0
16-358,"Salmon, farmed, flesh only, steamed","10 samples, fresh fillets",J,23.6,18.5,0,261,0
16-483,"Salmon, farmed, flesh only, steamed, fillets weighed with bones and skin",Calculated from 16-358 using edible conversion factor of 0.87,JC,20.5,16.1,0,227,0
16-420,"Salmon, pink, canned in brine, drained","9 samples, 7 products, large bones removed. Includes skin and some bones",JC,23.6,4.8,0,138,0
16-418,"Salmon, red, canned in brine, drained","10 samples, 10 products, large bones removed. Includes skin and some bones",JC,23.5,7.3,0,160,0
16-419,"Salmon, red, canned in brine, skinless and boneless, drained","4 samples, 3 products",JC,23.2,6.7,0,153,0
16-412,"Salmon, smoked (cold-smoked)","11 samples, 11 products. Salmon that is cured using salt and then smoked at low temperature; most smoked salmon is cold-smoked",JC,22.8,10.1,0.5,184,0.5
16-413,"Salmon, smoked (hot-smoked)","7 samples, 7 products. Salmon that has been smoked over heat, flesh only",JC,25.4,8.8,1.3,186,1.3
16-485,"Salmon, wild, baked",Calculated from 16-360 using 16.7% weight loss,JC,26.5,12.1,0,215,0
16-360,"Salmon, wild, flesh only, raw","10 samples, fresh steaks",J,22.1,10.1,0,179,0
16-486,"Salmon, wild, grilled",Calculated from 16-360 using 14.6% weight loss,JC,25.9,11.8,0,210,0
16-487,"Salmon, wild, steamed",Calculated from 16-360 using 12.7% weight loss,JC,25.3,11.6,0,206,0
13-601,"Salsify, flesh only, boiled in unsalted water","Ends ttrimmed, boiled 22 minutes, based on boiled in salted water",DG,1.1,0.4,8.6,23,1.4
13-334,"Salsify, flesh only, raw",Ends trimmed,DG,1.3,0.3,10.2,27,1.5
17-367,Salt,"2 samples, table salt",WY,0,0,0,0,0
16-010,"Salted fish, Chinese, bones removed, steamed",8 assorted varieties,JA,33.9,2.2,0,155,0
12-467,"Sambar, homemade","6 samples, spicy yellow lentil stew",DR,3.1,0.9,7.7,49,1.9
19-596,"Samosas, lamb, baked, homemade",Recipe,MR,11.1,17.5,23.1,288,1.6
19-597,"Samosas, lamb, deep fried in rapeseed oil, homemade",Recipe,MI,8.1,31.5,16.9,379,1.2
15-305,"Samosas, vegetable, retail","5 samples, 3 brands; mixed vegetable filling",DR,5.1,9.3,30,217,2.7
11-955,"Sandwich, white bread, bacon, lettuce and tomato",Recipe from University of North London survey of commercial sandwiches,AB,8.2,11.9,24.1,230,2.4
11-963,"Sandwich, white bread, cheddar cheese and pickle",Recipe from University of North London survey of commercial sandwiches,AB,12,14.4,27.7,282,4.6
11-964,"Sandwich, white bread, chicken salad",Recipe from University of North London survey of commercial sandwiches,AB,10.7,4.9,22.5,172,2.1
11-966,"Sandwich, white bread, egg mayonnaise",Recipe from University of North London survey of commercial sandwiches,AB,8.8,11.2,28.5,243,2.2
11-965,"Sandwich, white bread, ham salad",Recipe from University of North London survey of commercial sandwiches,AB,8.2,4.1,25,163,2.5
11-967,"Sandwich, white bread, tuna mayonnaise",Recipe from University of North London survey of commercial sandwiches,AB,12.5,10.2,25.3,237,2.1
14-256,"Sapodilla, flesh only",Literature sources;,FA,0.6,0.9,15.5,69,14.7
16-424,"Sardines, canned in brine, drained","6 samples, 5 products",JC,22.1,9.1,0,170,0
16-440,"Sardines, canned in olive oil, drained",Calculated from 16-424 and 17-038,JC,23.3,14.1,0,220,0
16-439,"Sardines, canned in sunflower oil, drained","Calculated from 16-424, sunflower oil  and industry data, 2013",JC,23.3,14.1,0,220,0
16-422,"Sardines, canned in tomato sauce, whole contents","9 samples, 8 products",JC,18.5,10.8,0.9,175,0.9
16-438,"Sardines, flesh only, grilled",Calculated from raw (analytical data 2010-2011) using weight loss on cooking,JC,25.4,7.8,0,172,0
16-488,"Sardines, flesh only, grilled, weighed with skin and bones",Calculated from 16-438 using edible conversion factor of 0.63,JC,16,4.9,0,108,0
16-401,"Sardines, flesh only, raw","6 samples, 5 products, frozen and chilled",JC,19.8,6.1,0,134,0
12-593,"Sauce, cheese, packet mix, dry","10 samples, 4 brands",BV,19.3,28.4,40.9,486,5.6
17-628,"Sauce, Chinese cook in, sweet & sour","10 samples, 7 products, chilled and ambient",WC,0.5,1,22.1,94,19.4
17-629,"Sauce, Chinese stir fry","10 samples, 10 products, including black bean and Szechuan, chilled and ambient",WC,1.4,1.3,19.9,92,16.7
15-879,"Sauce, curry, onion, with butter, homemade",Onion base for curry. Recipe from review of recipe collection,DR,1.2,24.7,6.6,252,4.4
15-880,"Sauce, curry, onion, with vegetable oil, homemade",Onion base for curry. Recipe from review of recipe collection,DR,1,30,6.5,298,4.2
15-751,"Sauce, curry, sweet, UK type, homemade",Recipe. Basic UK-type sauce with fruit and coconut. Recipe from review of recipe collection,DR,1.1,5.7,9.8,92,5.7
15-881,"Sauce, curry, tomato and onion, homemade",Recipe. Gujerati dish. Recipe from a personal collection,DR,1.7,19.2,6.1,201,4.6
17-329,"Sauce, dry, casserole mix","8 samples, 5 brands; including liver and bacon, sausage, beef Bourguignon mixes",WC,9.7,3.9,68.2,330,12.2
17-330,"Sauce, dry, casserole mix, made up",Calculated from 70g powder to 568ml water,WC,1.1,0.4,7.3,35,1.2
19-577,"Sauce, duck a l'orange",Used for duck a l'orange recipe calculations,MR,0.5,3.7,7.1,66,1.8
17-626,"Sauce, Indian cook in, korma/tikka masala","10 samples, 10 products, ambient",WC,1.7,9.5,10.9,133,7.4
17-625,"Sauce, pasta, carbonara type","10 samples, 9 products, chilled and ambient",WC,4.9,13,3.8,151,0.8
17-624,"Sauce, pasta, four cheese","10 samples, 8 products, chilled and ambient",WC,5.1,9.7,5.8,129,1.9
17-618,"Sauce, pasta, tomato based, for bolognese","10 samples, 9 products, ambient",WC,1.5,1.3,6.9,44,6.1
17-619,"Sauce, pasta, tomato based, napoletana","11 samples, 10 products, including tomato and basil sauce, ambient",WC,1.5,3.8,6.5,65,6.3
17-620,"Sauce, pasta, tomato based, reduced fat","6 samples, 3 products, ambient",WC,1.4,0.3,6.7,33,5.6
17-621,"Sauce, pasta, tomato based, with added vegetables","10 samples, 9 products, including chargrilled vegetable, sweet pepper, arrabbiata and mushroom pasta sauce, ambient",WC,1.4,2.1,5.7,46,5.1
17-827,"Sauce, pasta, white, with ham and mushrooms, homemade",Recipe,WC,7.3,10.6,1,129,1
17-336,"Sauce, sweet and sour, take-away","7 samples purchased from Chinese restaurants, sundry-style dipping sauce",WCN,0.2,3.4,32.8,157,27.5
15-882,"Sauce, tomato and mushroom, homemade","Recipe, Sauce for pasta or pizza. Recipe from review of recipe collection",DR,1.4,2,6,46,4.7
17-834,"Sauce, tomato based, homemade",Recipe,WC,1.5,4.5,6.5,70,5.1
17-630,"Sauce, traditional cook in, tomato based","10 samples including chasseur and red wine sauce, chilled and ambient",WC,0.9,1,8.1,43,4.9
17-631,"Sauce, traditional cook in, white sauce based","110 samples, 10 products, including white wine sauces, cheese sauces and creamy sauces, chilled and ambient",WC,1.6,8.6,5.7,105,2.8
17-627,"Sauces, Indian cook in, other","10 samples, 9 products, including balti, rogan josh, jalfrezi, ambient",WC,1.4,3.2,8.7,67,6.1
13-336,Sauerkraut,"10 samples, 3 brands. Bottled and canned, drained",DR,1.1,Tr,1.1,9,1.1
19-468,"Sausage roll, flaky pastry, ready-to-eat, retail","10 samples, 10 products, mini and large",MI,8.4,24.1,27,352,1.3
19-643,"Sausage rolls, short pastry, homemade",Recipe,MI,9.9,28.8,25.6,395,2.1
19-653,"Sausages, beef, fried in vegetable oil","6 samples of thick sausages, chilled",MI,17.6,17.4,10.7,267,2.6
19-489,"Sausages, beef, grilled","6 samples of thick sausages, chilled. Approx 60-81% meat",MI,17.2,17.2,11,265,2.4
19-656,"Sausages, beef, raw","6 samples of thick sausages. 50-55% meat, chilled",MI,12.7,19.5,8.4,258,2.6
19-512,"Sausages, pork, chilled, fried in vegetable oil",16 samples,MI,13.9,23.9,9.9,308,1.6
19-509,"Sausages, pork, chilled, grilled",16 samples,MI,14.5,22.1,9.8,294,1.5
19-654,"Sausages, pork, frozen, fried in vegetable oil",Analysis and calculation from 19-081,MI,13.8,24.8,10,316,0.5
19-655,"Sausages, pork, frozen, grilled",10 samples,MI,14.8,21.2,10.5,289,0.5
19-510,"Sausages, pork, raw","Average of frozen and chilled samples, thick and thin, 65-70% meat",MI,11.9,25,9.6,309,2.8
19-662,"Sausages, pork, reduced fat, fried in vegetable oil","7 samples, 5 brands of thin and thick sausages, chilled/frozen",MI,14.9,5.7,8.8,144,2.6
19-511,"Sausages, pork, reduced fat, grilled","7 samples, 5 brands, frozen and chilled, 65-68% meat",MI,16.2,6.1,10.7,160,3.4
19-658,"Sausages, pork, reduced fat, raw","7 samples, 5 brands of thin and thick sausages. 50-65% meat, chilled/frozen",MI,14.4,5.6,8.7,141,3.5
19-661,"Sausages, premium, fried in vegetable oil","Analyses and calculation from 19-094, chilled",MI,17.9,19.5,2.5,256,1
19-513,"Sausages, premium, grilled","Analyses and calculation from 19-093, chilled",MI,19,21.1,2.3,275,0.9
19-657,"Sausages, premium, raw","10 samples, 9 brands including Cumberland and Lincolnshire  sausages. 50-90% meat",MI,13.8,21,2.6,254,1.5
15-658,"Sausages, vegetarian, baked/grilled","4 samples, 3 brands, baked or grilled",DR,14.9,9.4,9.2,179,1.3
19-319,"Saveloy, unbattered, takeaway",20 samples,MI,13.8,22.3,10.8,296,1.3
16-262,"Scallops, steamed",Analytical and literature sources,JM,23.2,1.4,3.4,118,Tr
16-409,"Scampi, coated in breadcrumbs, baked","11 samples, 11 products, frozen and chilled",JR,11.6,10.5,24.3,232,0.8
16-443,"Scampi, coated in breadcrumbs, fried in sunflower oil",Calculated from baked 16-409 using analysed water and fat values,JK,10.6,13,22.2,243,0.7
16-442,"Scampi, in breadcrumbs, frozen, fried in rapeseed oil",Calculated from baked 16-409 using analysed water and fat values,JK,10.6,13,22.2,243,0.7
11-1112,"Scones, cheese, homemade",Recipe,AP,10.1,16.4,45.3,358,1.9
11-993,"Scones, fruit, retail","10 samples, 5 brands, 3 bakeries",AP,6.5,11.2,56.2,338,18.9
11-1115,"Scones, fruit, wholemeal, homemade",Recipe,AP,7.7,11.1,50.8,322,13.9
11-958,"Scones, plain, homemade",Recipe,AP,7.2,12.7,55.9,352,5.4
11-827,"Scones, plain, retail","10 samples, 7 products",AN,7.2,12.3,55.2,346,12.7
11-1113,"Scones, potato, homemade",Recipe,AP,4.8,13.6,36.8,279,1.4
11-1114,"Scones, wholemeal, homemade",Recipe. Ref. Wiles et al. (1980),AP,8.2,12.3,46.6,319,5.6
17-835,"Scotch broth, homemade",Recipe,WAA,6.8,3.5,4,74,1.6
19-518,"Scotch eggs, retail","10 samples, 8 brands",MI,12,16,13.1,241,Tr
11-1116,"Scotch pancakes, homemade",Recipe,AP,6.6,9.8,41.1,270,7.7
11-544,"Scotch pancakes, retail","6 samples, 4 brands",AP,5.6,9.6,43,270,21.5
16-454,Seafood selection,"Recipe. Mussels, prawns, squid and cockles",JR,15.6,1.5,2.9,87,Tr
16-415,Seafood sticks,"8 samples, 7 products, frozen and chilled",JR,7.3,1.9,14.9,102,4.8
13-337,"Seakale, stem only, boiled in unsalted water",Boiled 20 minutes,DG,1.4,Tr,0.6,8,0.6
13-338,"Seaweed, Irish moss, raw",Literature sources,DG,1.5,0.2,Tr,8,Tr
13-339,"Seaweed, kombu, dried, raw",Analysis and literature sources,DG,7.1,1.6,Tr,43,Tr
13-340,"Seaweed, nori, dried, raw",Analysis and literature sources,DG,30.7,1.5,Tr,136,Tr
13-341,"Seaweed, wakame, dried, raw",Analysis and literature sources,DG,12.4,2.4,Tr,71,Tr
11-903,"Semolina, raw","6 samples, 5 products",AA,10.6,1.6,77.9,349,0.6
16-367,"Sesame prawn toast, takeaway","10 sub-samples, 2 from different establishments in each of 5 regions",JR,12.9,29.8,16.7,382,0.8
14-844,Sesame seeds,"10 samples, with and without hulls",GA,18.2,58,0.9,598,0.4
17-836,"Sev/ganthia, homemade","Recipe, savoury Indian snack",SNC,18.8,25.1,47.1,478,1.9
11-915,"Sevyian, homemade","6 samples, dessert made from vermicelli and milk",AS,3.8,3.1,20.2,119,13.6
13-342,"Shallots, raw",Literature sources,DG,1.5,0.2,3.3,20,3.3
17-760,"Shandy, 50% lager, homemade",Calculated from standard lager and standard lemonade,QA,0.2,Tr,2.9,23,2.9
17-821,"Shandy, bottled or canned","<1% ABV, typically 10-12% beer or lager. 10 cans, 4 brands",QA,Tr,Tr,5,24,5
16-142,"Shark, raw",Data from Seafish Industry Authority and literature sources,JA,23,1.1,0,102,0
14-259,"Sharon fruit, flesh only","7 samples, Persimmon",FA,0.8,Tr,18.6,73,18.6
19-626,"Shepherd's pie, homemade",Recipe,MR,5.9,5.4,9.5,107,0.9
15-883,"Shepherd's pie, vegetable",Recipe. Vegetable and lentil base with potato topping. Recipe from review of recipe collection,DR,4.5,3.9,16.1,114,1.5
15-655,"Shepherd's pie, vegetable, retail","Vegetable, lentil and barley base with potato topping. Recipe from manufacturer",DR,1.9,4.9,13.3,101,1.7
17-236,"Sherry, medium","15-19.5% ABV. 8 samples; including Spanish, British, Cyprus, own label",QF,0.1,0,5.9,116,5.9
19-525,Shish kebab in pitta bread with salad,"Calculated from 37% shish kebab (19-150), 27% pitta bread and 36% salad",MR,13.6,4.1,15.4,149,1.3
19-150,"Shish kebab, meat only",20 samples from assorted takeaways,MR,29,10,0,206,0
19-627,"Shish kebabs, with onions and peppers, homemade",Recipe,MR,12.8,15.2,4.6,206,3
11-802,Shortbread,"10 samples, 7 products",AM,5.3,29,62.2,515,15.6
11-837,"Shortcake, caramel, chocolate covered, retail","10 samples, 7 products",AN,4.7,27.3,53.6,466,36.2
16-245,"Shrimps, boiled","Purchased cooked, probably in sea or salt water",JK,23.8,2.4,Tr,117,Tr
16-246,"Shrimps, boiled, weighed with shells",Calculated from boiled 16-245,JK,7.9,0.8,Tr,39,Tr
16-247,"Shrimps, canned in brine, drained","10 cans, 3 brands",JK,20.8,1.2,Tr,94,Tr
16-249,"Shrimps, dried",5 packets from Chinese supermarkets. Shrimps and prawns,JK,55.8,2.4,Tr,245,Tr
16-248,"Shrimps, frozen",10 packets from Chinese supermarkets. Shrimps and prawns,JK,16.5,0.8,Tr,73,Tr
16-144,"Skate, grilled",Calculated from raw 16-143,JA,18.9,0.5,0,79,0
16-145,"Skate, grilled, weighed with bones","Calculated from grilled, wings",JA,14,0.3,0,59,0
16-143,"Skate, raw",Data from Seafish Industry Authority and literature sources,JA,15.1,0.4,0,64,0
17-096,Smartie-type sweets,10 samples including Smarties and M & M's,SEA,5.4,17.5,73.9,456,70.8
17-747,Smoothies,"Retail, chilled, yellow and red fruit smoothies. Not made with milk.",PE,0.5,0.1,12.2,49,11.6
16-477,"Sole, flesh only, grilled, fillets weighed with skin",Calculated from 16-380 using edible conversion factor of 0.77,JA,16.6,0.5,0,71,0
12-393,"Sorbet, fruit","10 samples, assorted flavours",BP,0.2,0.3,24.8,97,23.3
12-958,"Souffle, cheese, homemade",Recipe,CD,11.6,16.8,10.8,237,2.3
12-959,"Souffle, plain, homemade",Recipe,CD,7.7,11.9,10.5,177,2.5
17-637,"Soup, broccoli and stilton, carton, chilled","10 samples, 7 products, including New Convent Garden and own brands",WA,2.3,3.1,3.8,51,1.5
17-634,"Soup, carrot and coriander, carton, chilled","8 samples, 5 products, including New Convent Garden and own brands",WA,0.9,2.6,4.7,45,3
17-776,"Soup, carrot and orange, homemade",Recipe,WAA,0.3,0.5,3.8,20,3.5
17-850,"Soup, chicken noodle, dried","10 packets, 4 brands",WAE,17.1,4.8,56,322,4.4
17-714,"Soup, chicken noodle, dried, as served",Calculated from 35g soup powder to 570ml water,WAE,1,0.3,3.2,19,0.3
17-695,"Soup, chicken, cream of, canned","10 cans, 3 brands",WAC,1.7,3.8,4.5,58,1.1
17-696,"Soup, chicken, cream of, canned, condensed",7 cans of the same brand,WAC,2.6,5.8,6,85,1.4
17-652,"Soup, cream of tomato, canned","10 samples, 5 brands",WAC,0.9,2,7.8,51,5.5
17-794,"Soup, French onion, homemade",Recipe,WAA,0.9,2.2,5,41,3.7
17-795,"Soup, gazpacho, homemade",Recipe,WAA,0.8,3.6,2.9,46,2.5
17-796,"Soup, goulash, homemade",Recipe,WAA,7.7,5.8,7.2,106,1.9
17-653,"Soup, instant, dried, as purchased","11 samples, 3 brands, powder only, not including croutons",WAE,5.9,13.4,64.1,384,17.4
17-660,"Soup, instant, dried, as served","Calculated from instant soup powder, 24g powder made up with 225g water. Assorted flavours",WAE,0.6,1.3,6.2,37,1.7
17-698,"Soup, lentil, canned","10 cans, 4 brands",WAC,3.1,0.2,8.5,46,1.2
17-808,"Soup, lentil, homemade",Recipe,WAA,5.9,4.8,14.6,121,1.7
17-699,"Soup, low calorie, canned","7 cans, 3 brands; tomato, vegetable and minestrone varieties",WAC,0.9,0.7,6.2,33,2.4
17-711,"Soup, minestrone, canned",Label data,WA,1.1,0.2,6.6,31,1.8
17-810,"Soup, minestrone, homemade",Recipe,WAA,2.1,2.3,7.6,60,1.4
17-813,"Soup, mulligatawny, homemade",Recipe,WAA,1.9,6.4,8.1,90,2.9
17-635,"Soup, mushroom, carton, chilled","10 samples, 4 products, including New Convent Garden and own brands",WA,1.5,2.7,4.9,48,1.4
17-713,"Soup, mushroom, cream of, canned","10 cans, 3 brands",WAC,1.1,3,3.9,46,0.8
17-700,"Soup, oxtail, canned","10 cans, 3 brands",WAC,2.4,1.7,5.1,44,0.9
17-829,"Soup, pea and ham, homemade",Recipe,WAA,4.1,2.2,9.8,73,1.5
17-831,"Soup, potato and leek, homemade",Recipe,WAA,1.5,2.2,6.2,56,1.5
17-636,"Soup, tomato, carton, chilled","10 samples, 7 products, including New Convent Garden and own brands",WA,0.9,1.9,4.3,37,3.3
17-712,"Soup, vegetable, canned","10 cans, 3 brands",WAC,1.4,0.6,7.4,39,2.6
17-684,"Soup, vegetable, homemade",Recipe,WAA,1,4.2,3.7,55,1.8
17-721,"Soy sauce, light and dark varieties","8 samples, 4 brands",WCN,3,Tr,17.9,79,16.4
19-628,"Spaghetti bolognese, homemade","Recipe, including meat, sauce and spaghetti",MR,8.1,6.1,17.2,151,1.8
19-542,"Spaghetti bolognese, retail, meat and sauce only, reheated","12 samples, 10-18% meat, chilled and frozen",MR,9.3,5.7,5.3,108,3
19-524,"Spaghetti bolognese, retail, reheated, with spaghetti","Recipe. calculated using 56% spaghetti and 44% meat and sauce, chilled and frozen",MR,6.6,2.8,20,126,1.9
13-550,"Spinach, baby, boiled in unsalted water",Calculated from raw using a weight loss of 19.8%,DG,3.2,0.7,0.2,20,Tr
13-521,"Spinach, baby, raw","16 samples, autumn and winter, UK grown and imported",DG,2.6,0.6,0.2,16,Tr
17-417,"Spinach, dried",Calculated from raw spinach,DI,24.3,6.9,13.8,211,12.9
13-458,"Spinach, frozen, boiled in unsalted water","10 samples, 8 brands, boiled for 2-10 minutes",DG,3.1,0.8,0.5,21,0.3
13-573,"Spinach, mature, boiled in unsalted water","Ribs and stems removed, shredded",DG,2.2,0.8,0.8,19,0.8
13-572,"Spinach, mature, raw",Ribs and stems removed,DG,2.8,0.8,1.6,25,1.5
17-247,"Spirits, 40% volume","Mean of brandy, gin, rum, whisky and vodka",QK,Tr,0,Tr,222,Tr
16-219,"Sprats, fried","Analysis and calculation from raw; fish without heads, deep fried",JC,24.9,35,0,415,0
16-220,"Sprats, fried, weighed with bones",Calculated from fried 16-219,JC,14.9,21,0,249,0
16-218,"Sprats, raw","10 samples from assorted outlets, purchased whole",JC,18.3,11,0,172,0
13-350,"Spring greens, boiled in unsalted water",Based on boiled in salted water,DG,1.9,0.7,1.6,20,1.4
13-348,"Spring greens, raw",Main ribs and stems removed,DG,3,1,3.1,33,2.7
13-352,"Spring onions, bulbs and tops, raw",Peeled bulb and leaves,DG,2,0.5,3,23,2.8
13-351,"Spring onions, bulbs only, raw",Peeled,DG,0.9,Tr,8.5,35,8.5
19-327,"Spring rolls, meat, takeaway",10 samples,MR,6.5,16.4,18.2,242,1.8
13-354,"Squash, acorn, baked",Literature sources and calculation from raw,DG,1.1,0.1,12.6,56,1.6
13-353,"Squash, acorn, raw",Literature sources,DG,0.8,0.1,9,40,1
13-644,"Squash, butternut, baked","11 samples, imported, flesh only, loose and prepacked chunks",DG,1.4,0.2,8.4,39,8.4
13-643,"Squash, butternut, boiled in unsalted water","Calculated from baked. Water analysed, 2017. 11 samples, imported, flesh only, loose and prepacked chunks. Cut into chunks and boiled for 15-20 minutes",DG,0.9,0.1,5.1,24,5.1
13-355,"Squash, butternut, raw",Analytical and literature sources,DG,1.1,0.1,8.3,36,4.5
13-358,"Squash, spaghetti, baked",Literature sources and anlaysis,DG,0.7,0.3,4.3,23,3.4
13-357,"Squash, spaghetti, raw",Literature sources and analysis,DG,0.6,0.6,4.6,26,3.6
16-267,"Squid, dried",Literature sources and calculation from raw,JM,63.3,4.6,4.8,313,Tr
16-263,"Squid, raw",Analytical and literature sources,JM,15.4,1.7,1.2,81,Tr
14-059,Star fruit,Carambola. Analysis and literature sources; ends trimmed,FA,0.5,0.3,7.3,32,7.1
19-630,"Steak and kidney pudding, homemade",Recipe,MI,10.7,10.9,18.6,210,0.8
19-473,"Stew, beef, homemade",Recipe,MR,11.9,4.6,4.8,105,2
19-550,"Stew, beef, made with lean beef, homemade",Recipe,MR,12.2,3.1,4.8,93,2
19-590,"Stew, beef, with dumplings, homemade",Recipe,MR,10.1,10,16.2,190,1.6
19-479,"Stew, Irish, homemade",Recipe,MR,7.3,6.2,9.4,119,1.9
19-585,"Stew, Irish, made with lean lamb, homemade",Recipe,MR,7.6,4.9,8.6,107,1.8
19-460,"Stir-fry beef with green peppers and blackbean sauce, takeaway","10 sub-samples, 2 from different establishments in each of 5 regions",MR,10.5,5.6,2.7,103,1
17-515,"Stock cubes, beef","10 samples, 6 brands including Bovril, Oxo and own brands",WY,16.8,9.2,N,N,N
17-726,"Stock cubes, chicken","7 samples, 4 brands including Oxo",WY,15.4,15.4,N,N,N
17-774,"Stock cubes, chicken, made up with water",Calcualted from 7g stock cube to 190ml water,WY,0.5,0.5,N,N,N
17-727,"Stock cubes, vegetable","8 samples, 4 brands including Oxo",WY,13.5,17.3,N,N,N
17-680,Stock gel,"Including stock pots, stock melts and squeezy tubes",WY,6.7,3.6,27.8,163,5.7
17-681,"Stock, chicken, ready made, retail",Label data,WY,2.3,0.2,0.2,12,0.1
17-767,"Stout, Guinness","Approx. 4% ABV. 10 samples including canned, bottled and draft",QA,0.4,Tr,3.2,37,3.2
14-324,"Strawberries, raw","19 samples, summer and autumn, UK grown and imported, including Elsanta, Sonata, Ava, Portola and unspecified varieties",FA,0.6,0.5,6.1,30,6.1
11-919,"Strudel, fruit filled, retail, frozen","12 samples, 7 products",AS,2.7,13.5,29.1,241,10.6
17-371,"Stuffing mix, dried","10 samples, 4 brands; assorted flavours",AT,9.9,5.2,67.2,338,4.4
17-372,"Stuffing mix, dried, assorted flavours, made up",Made up according to packet directions,AT,2.8,1.5,19.3,97,1.3
11-1000,"Stuffing, sage and onion, homemade",Recipe,AT,5.6,13.3,29.4,253,5.4
17-011,"Suet, shredded",Beef. 6 samples of the same brand,OF,Tr,86.7,12.1,826,0.2
17-759,"Suet, vegetable, reduced fat",Manufacturer's data (Atora),OF,2.5,65.7,31.1,718,1.4
14-076,"Sugar apple, flesh only","Literature sources, Annona squamosa, sometimes known as custard apple",FA,1.6,0.3,16.1,69,14.9
17-060,"Sugar, brown",3 samples,SC,0.1,0,101.3,380,101.3
17-061,"Sugar, Demerara",5 samples,SC,0.5,0,104.5,394,104.5
17-062,"Sugar, icing",Analysis and maunfacturers' data,SC,Tr,0,104.9,393,103.8
17-063,"Sugar, white",Granulated and loaf sugar,SC,Tr,0,105,394,105
14-263,Sultanas,"10 samples, 9 brands; whole fruit",FA,2.7,0.4,69.4,275,69.4
14-845,Sunflower seeds,Analysis and literature sources,GA,19.8,47.5,18.6,576,1.7
14-846,"Sunflower seeds, toasted",Calculated from 14-845,GA,20.5,49.2,19.3,602,1.8
16-361,"Sushi, salmon nigiri","10 samples, 7 products",JR,8.7,2.5,25.2,152,3.2
16-362,"Sushi, tuna nigiri","10 samples, 5 products",JR,8.4,2.5,30.3,170,4.7
15-617,"Sushi, vegetable","10 samples, 9 products",DR,3.4,1.3,32.8,148,7
13-650,"Swede, flesh only, boiled in unsalted water","11 samples, UK, fresh. Peeled, diced and boiled for 13-20 minutes",DG,0.7,0.1,5.8,26,5.7
